permutation,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(119)),LogisticRegression,0.9940208322829864,0.9597038773409758,0.9662398137369034,0.9471913891691894,0.95471569628873,0.9363718411552346,0.9978738483345145,0.9964463397299218,0.9980759980759981,0.9014084507042254,0.9163398692810457,249071.727213689,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(120)),LogisticRegression,0.9936928112696972,0.9593768422278011,0.9660069848661234,0.9390243902439025,0.9621365787694388,0.9361462093862816,0.9971223021582734,0.9964985994397759,0.9978354978354979,0.8873239436619719,0.9300653594771242,249191.56418330176,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(121)),LogisticRegression,0.9933972590453961,0.9583934079667574,0.9651880312027012,0.9378607809847199,0.9608900876601484,0.9354547506206274,0.9985538684020245,0.9923398328690808,0.9968734968734969,0.884122919334187,0.9313725490196079,249417.7328767315,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(122)),LogisticRegression,0.9938761251586212,0.9595359913752964,0.9661273425678035,0.942808798646362,0.958700067704807,0.9361606135799684,1.0,0.9943820224719101,0.9980759980759981,0.8918053777208707,0.9254901960784314,254258.57765693462,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(123)),LogisticRegression,0.9939364608974596,0.959948218736516,0.9664726426076834,0.9414947582008792,0.9610565526583136,0.9365974729241877,0.9978494623655914,0.9971890372452565,0.9983164983164983,0.8911651728553137,0.9274509803921569,249970.00910871808,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(124)),LogisticRegression,0.9954370041054124,0.9647420588104385,0.9703132304815335,0.9531772575250835,0.9614082599864592,0.9438381082310141,0.9978991596638656,0.9971910112359551,0.9983164983164983,0.912291933418694,0.9281045751633987,253059.54499880841,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(125)),LogisticRegression,0.9943320436348654,0.9606976420534574,0.966997084548105,0.9490616621983915,0.9554573274396463,0.9386461399139687,0.9957805907172996,0.9957476966690291,0.9971139971139971,0.9065300896286812,0.9183006535947712,252597.42056845746,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(126)),LogisticRegression,0.9934839249514452,0.9585460472518238,0.9653246451012334,0.9390243902439025,0.9600541638456331,0.9350766456266907,0.9971223021582734,0.9957865168539326,0.9975949975949976,0.8873239436619719,0.9267973856209151,249504.04949844658,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(127)),LogisticRegression,0.9940651529244044,0.9599702233184665,0.9664882476146147,0.9457364341085271,0.9567880231371214,0.9362037871956718,0.998576512455516,0.9978708303761533,0.9987974987974988,0.8982074263764405,0.918954248366013,250252.22878518555,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(128)),LogisticRegression,0.9943501592766364,0.9612113126765902,0.9674863069572311,0.9442379182156134,0.9614864864864865,0.9385032783178838,1.0,0.9951048951048951,0.9983164983164983,0.8943661971830986,0.9300653594771242,249258.27227622434,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(129)),LogisticRegression,0.9950621036233902,0.963352382091948,0.9691372457329903,0.9507867425510546,0.9604596147347078,0.9429026387625113,0.9964912280701754,0.9944016794961511,0.9968734968734969,0.9090909090909091,0.9287581699346406,252025.19496236258,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(130)),LogisticRegression,0.9951095497270706,0.963368403476565,0.9691228070175438,0.9553928095872172,0.9558723693143245,0.9433060109289617,0.9951456310679612,0.9943502824858758,0.9963924963924964,0.9186939820742638,0.9202614379084967,253430.20814902283,1,8,2,42,0.5,100000
