permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(0.8)-max(100000),LogisticRegression,0.9908618557029656,233551.9753376976,1,8,1,60,0.8,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(20000),LogisticRegression,0.9737146159245962,124945.32874741829,1,8,1,60,1.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(30000),LogisticRegression,0.9759362665720345,139439.72583302605,1,8,1,60,1.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(1)-max(100000),LogisticRegression,0.9763795398736146,229282.37977735105,1,8,1,60,1.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(20000),LogisticRegression,0.7961421638576268,114255.46166844516,1,8,1,60,2.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(30000),LogisticRegression,0.8012966080102915,122493.02308750204,1,8,1,60,2.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(2)-max(100000),LogisticRegression,0.802541662029173,169546.29946887435,1,8,1,60,2.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(20000),LogisticRegression,0.33264760881098265,106685.11863256991,1,8,1,60,3.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(30000),LogisticRegression,0.3324171752506453,110518.84602592801,1,8,1,60,3.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(60)-fa(3)-max(100000),LogisticRegression,0.3591216129684387,120544.37620656875,1,8,1,60,3.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(20000),LogisticRegression,0.9500370621592695,127669.74383121436,1,8,1,180,0.1,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(30000),LogisticRegression,0.946628544305423,143814.27251529097,1,8,1,180,0.1,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.1)-max(100000),LogisticRegression,0.9453410417397065,258735.3669527633,1,8,1,180,0.1,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(20000),LogisticRegression,0.983147981809497,128285.78713810741,1,8,1,180,0.25,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(30000),LogisticRegression,0.9858856851409504,142478.26213577323,1,8,1,180,0.25,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.25)-max(100000),LogisticRegression,0.9825929582559009,263060.8836031231,1,8,1,180,0.25,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(20000),LogisticRegression,0.9970628608107942,127852.38237185481,1,8,1,180,0.5,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(30000),LogisticRegression,0.9966262604638558,143811.1944759778,1,8,1,180,0.5,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.5)-max(100000),LogisticRegression,0.9964366297277311,250437.16448525595,1,8,1,180,0.5,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(20000),LogisticRegression,0.9765009026886762,128294.02900351,1,8,1,180,0.8,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(30000),LogisticRegression,0.9783201778270004,139836.77631440386,1,8,1,180,0.8,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(0.8)-max(100000),LogisticRegression,0.978512403869988,231351.51291300397,1,8,1,180,0.8,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(20000),LogisticRegression,0.9344561819130773,124587.26049351729,1,8,1,180,1.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(30000),LogisticRegression,0.9420248235455874,137386.83395727215,1,8,1,180,1.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(1)-max(100000),LogisticRegression,0.9401664323482714,214824.16916501374,1,8,1,180,1.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(20000),LogisticRegression,0.28273647922846745,112137.23266525436,1,8,1,180,2.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(30000),LogisticRegression,0.27180556997746264,116692.30069673665,1,8,1,180,2.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(2)-max(100000),LogisticRegression,0.2876809501397273,150889.49472760636,1,8,1,180,2.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(20000),LogisticRegression,-0.569369111946779,102157.41369502102,1,8,1,180,3.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(30000),LogisticRegression,-0.569369111946779,103005.91081194331,1,8,1,180,3.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(180)-fa(3)-max(100000),LogisticRegression,-0.5763222728261965,111359.64081094222,1,8,1,180,3.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(20000),LogisticRegression,0.9422230201312976,128218.63452647385,1,8,1,252,0.1,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(30000),LogisticRegression,0.9442119346280061,145261.31711288213,1,8,1,252,0.1,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.1)-max(100000),LogisticRegression,0.9402471686807952,261246.21235647344,1,8,1,252,0.1,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(20000),LogisticRegression,0.9854580722278969,128658.71909619904,1,8,1,252,0.25,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(30000),LogisticRegression,0.984338919259693,144256.18868572495,1,8,1,252,0.25,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.25)-max(100000),LogisticRegression,0.9855242870804554,260168.31829664565,1,8,1,252,0.25,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(20000),LogisticRegression,0.9950001322262974,128076.4344234365,1,8,1,252,0.5,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(30000),LogisticRegression,0.9941569538135816,144739.87070846913,1,8,1,252,0.5,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.5)-max(100000),LogisticRegression,0.9935047977005137,251853.38099857286,1,8,1,252,0.5,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(20000),LogisticRegression,0.9721731372336118,127328.28454880216,1,8,1,252,0.8,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(30000),LogisticRegression,0.9718189909783883,139401.7770803803,1,8,1,252,0.8,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(0.8)-max(100000),LogisticRegression,0.9707522278344519,226897.2153782817,1,8,1,252,0.8,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(20000),LogisticRegression,0.9391365796088069,121462.93617450159,1,8,1,252,1.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(30000),LogisticRegression,0.9354185116751236,131107.1573316992,1,8,1,252,1.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(100000),LogisticRegression,0.940730544821348,196247.120222928,1,8,1,252,1.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(20000),LogisticRegression,0.4380689275567964,108947.99010634831,1,8,1,252,2.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(30000),LogisticRegression,0.45300971006480273,112219.00293066486,1,8,1,252,2.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(100000),LogisticRegression,0.41351556076334783,130456.10539898189,1,8,1,252,2.0,100000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(20000),LogisticRegression,-0.18226468488558112,102962.86412370985,1,8,1,252,3.0,20000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(30000),LogisticRegression,-0.17500287246740065,104293.67138530892,1,8,1,252,3.0,30000
LogisticRegression-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(100000),LogisticRegression,-0.18268270968631883,108702.66132068238,1,8,1,252,3.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(20000),LogisticRegression,0.9358421120971467,130479.28984509116,1,8,2,24,0.1,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(30000),LogisticRegression,0.9320299947830474,146683.36170349966,1,8,2,24,0.1,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(100000),LogisticRegression,0.9299940363952777,268646.5574304356,1,8,2,24,0.1,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(20000),LogisticRegression,0.9730246030106775,127808.05604485855,1,8,2,24,0.25,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(30000),LogisticRegression,0.9692643438382782,145554.475275522,1,8,2,24,0.25,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(100000),LogisticRegression,0.9711736314861509,264033.36951015604,1,8,2,24,0.25,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(20000),LogisticRegression,0.9933111230331805,127165.49680494894,1,8,2,24,0.5,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(30000),LogisticRegression,0.9918254721085525,143451.19546854924,1,8,2,24,0.5,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(100000),LogisticRegression,0.9931013885782332,257360.8545086296,1,8,2,24,0.5,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(20000),LogisticRegression,0.9967916940737471,126355.14078731688,1,8,2,24,0.8,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(30000),LogisticRegression,0.9972245699029089,142154.26812268601,1,8,2,24,0.8,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(100000),LogisticRegression,0.9975866911307356,247239.1068725261,1,8,2,24,0.8,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(20000),LogisticRegression,0.9909138953962704,125168.19986255447,1,8,2,24,1.0,20000
