permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
SVC-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(30000),SVC,0.569514342645868,112815.29006347229,1,8,1,252,1.0,30000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(1)-max(100000),SVC,0.5199247330154407,136329.95060966548,1,8,1,252,1.0,100000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(20000),SVC,-0.0497091106123948,107412.3276547179,1,8,1,252,2.0,20000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(30000),SVC,-0.024751293099702476,109135.5313112168,1,8,1,252,2.0,30000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(2)-max(100000),SVC,-0.04951870464155794,120050.36865958622,1,8,1,252,2.0,100000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(20000),SVC,-0.28342142458774333,100881.49767903484,1,8,1,252,3.0,20000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(30000),SVC,-0.355999929939651,101932.20451886705,1,8,1,252,3.0,30000
SVC-p1-tr(8)-sw(1)-lw(252)-fa(3)-max(100000),SVC,-0.3229678307651276,105105.04747659613,1,8,1,252,3.0,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(20000),SVC,0.10543122085623424,120308.79871161927,1,8,2,24,0.1,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(30000),SVC,0.11082852214959882,131079.20050407486,1,8,2,24,0.1,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.1)-max(100000),SVC,0.1029926469177771,186065.4636528534,1,8,2,24,0.1,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(20000),SVC,0.2646310968174099,123326.48004324883,1,8,2,24,0.25,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(30000),SVC,0.2593407085008137,130495.04678838383,1,8,2,24,0.25,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.25)-max(100000),SVC,0.278738716680061,193638.58055928216,1,8,2,24,0.25,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(20000),SVC,0.44437052410235234,117901.23513706755,1,8,2,24,0.5,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(30000),SVC,0.4742380178202712,127592.43878181012,1,8,2,24,0.5,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.5)-max(100000),SVC,0.4480661909142192,186294.60186882704,1,8,2,24,0.5,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(20000),SVC,0.6548481087683424,117512.64467577406,1,8,2,24,0.8,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(30000),SVC,0.5812530841469097,127161.19933927731,1,8,2,24,0.8,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(0.8)-max(100000),SVC,0.6656511710711035,182923.79449476552,1,8,2,24,0.8,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(20000),SVC,0.6460563887659614,117071.4486016718,1,8,2,24,1.0,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(30000),SVC,0.6992505125343115,127290.51612820341,1,8,2,24,1.0,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(1)-max(100000),SVC,0.6950961848873086,174398.76975788124,1,8,2,24,1.0,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(20000),SVC,0.4178478734726746,108050.49843532225,1,8,2,24,2.0,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(30000),SVC,0.4398892043499446,111658.03803208866,1,8,2,24,2.0,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(2)-max(100000),SVC,0.4301006470273139,135540.0083173532,1,8,2,24,2.0,100000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(20000),SVC,-0.4182606374543878,104833.10945560472,1,8,2,24,3.0,20000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(30000),SVC,-0.4299486145722713,107359.87576870216,1,8,2,24,3.0,30000
SVC-p1-tr(8)-sw(2)-lw(24)-fa(3)-max(100000),SVC,-0.4301532214223871,118120.80904565364,1,8,2,24,3.0,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(20000),SVC,0.09300938548710369,115625.88110017838,1,8,2,42,0.1,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(30000),SVC,0.12290692557624638,123885.08530852447,1,8,2,42,0.1,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.1)-max(100000),SVC,0.08897746683110497,178662.06599949853,1,8,2,42,0.1,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(20000),SVC,0.2626554997419611,117490.41066123948,1,8,2,42,0.25,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(30000),SVC,0.2348292325377095,123900.32662926003,1,8,2,42,0.25,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.25)-max(100000),SVC,0.24063267695338375,179780.17358827282,1,8,2,42,0.25,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(20000),SVC,0.541359697282757,115957.09153032536,1,8,2,42,0.5,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(30000),SVC,0.4827147429733919,124753.05109251285,1,8,2,42,0.5,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000),SVC,0.4797301840132646,176654.81849361717,1,8,2,42,0.5,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(20000),SVC,0.6959330210624931,119550.99785648669,1,8,2,42,0.8,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(30000),SVC,0.7237032799211065,128130.27954661942,1,8,2,42,0.8,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(0.8)-max(100000),SVC,0.6919669100875003,181160.53599359636,1,8,2,42,0.8,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(20000),SVC,0.7550936729287532,115109.56132111722,1,8,2,42,1.0,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(30000),SVC,0.7066442208644231,121498.49265666294,1,8,2,42,1.0,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(1)-max(100000),SVC,0.7416019600628303,166353.79054436475,1,8,2,42,1.0,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(20000),SVC,0.4509311526768912,108132.14477411303,1,8,2,42,2.0,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(30000),SVC,0.40244694079135235,113355.41486732135,1,8,2,42,2.0,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(2)-max(100000),SVC,0.4188626695926133,141733.1867080474,1,8,2,42,2.0,100000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(20000),SVC,-0.14638099041776265,101438.98848557481,1,8,2,42,3.0,20000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(30000),SVC,-0.14638099041776265,102438.02556140051,1,8,2,42,3.0,30000
SVC-p1-tr(8)-sw(2)-lw(42)-fa(3)-max(100000),SVC,-0.1572898369450093,109989.57193169618,1,8,2,42,3.0,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(20000),SVC,0.15032301657966474,117458.24475966157,1,8,2,60,0.1,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(30000),SVC,0.07067584209422051,122814.01974378337,1,8,2,60,0.1,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(100000),SVC,0.10889492971578729,175679.5568248892,1,8,2,60,0.1,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(20000),SVC,0.22561453339037074,115858.49875087132,1,8,2,60,0.25,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(30000),SVC,0.2918390861627651,126558.51755545569,1,8,2,60,0.25,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(100000),SVC,0.24886372902271447,172187.18727267103,1,8,2,60,0.25,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(20000),SVC,0.563292559822796,116106.3770797912,1,8,2,60,0.5,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(30000),SVC,0.5622021057682407,124895.55160370459,1,8,2,60,0.5,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(100000),SVC,0.5999519494225624,174273.36490918658,1,8,2,60,0.5,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(20000),SVC,0.7363480193503499,116680.48170016355,1,8,2,60,0.8,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(30000),SVC,0.724848553198516,123895.86699065153,1,8,2,60,0.8,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(100000),SVC,0.7645839784771753,173699.47651065377,1,8,2,60,0.8,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(20000),SVC,0.797878342096374,115419.22871609924,1,8,2,60,1.0,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(30000),SVC,0.7518961866365175,122461.59183737217,1,8,2,60,1.0,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(100000),SVC,0.7622741849416944,171533.30135544203,1,8,2,60,1.0,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(20000),SVC,0.40228991785419077,109834.17483767771,1,8,2,60,2.0,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(30000),SVC,0.4257207327979864,113702.20596303785,1,8,2,60,2.0,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(100000),SVC,0.43476046093525855,140767.35993019424,1,8,2,60,2.0,100000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(3)-max(20000),SVC,-0.3448195598695911,104118.32459754287,1,8,2,60,3.0,20000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(3)-max(30000),SVC,-0.3580955511145585,105040.1936614328,1,8,2,60,3.0,30000
SVC-p1-tr(8)-sw(2)-lw(60)-fa(3)-max(100000),SVC,-0.34558255395307325,112589.56437873401,1,8,2,60,3.0,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.1)-max(20000),SVC,0.13236355076511985,115859.56188681987,1,8,2,180,0.1,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.1)-max(30000),SVC,0.173461916735139,125444.88752622952,1,8,2,180,0.1,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.1)-max(100000),SVC,0.10177830941081978,168188.08526500646,1,8,2,180,0.1,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.25)-max(20000),SVC,0.34264064820805396,114030.67326196334,1,8,2,180,0.25,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.25)-max(30000),SVC,0.3791183766908133,122827.54157814177,1,8,2,180,0.25,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.25)-max(100000),SVC,0.35357229118750877,176972.4270773161,1,8,2,180,0.25,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.5)-max(20000),SVC,0.6536004052769868,118770.92728660806,1,8,2,180,0.5,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.5)-max(30000),SVC,0.6854804386006976,128477.7060516386,1,8,2,180,0.5,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.5)-max(100000),SVC,0.7187526833769522,178601.35942088318,1,8,2,180,0.5,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.8)-max(20000),SVC,0.7757006595013551,115711.98687168628,1,8,2,180,0.8,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.8)-max(30000),SVC,0.7901527562154531,123194.5620844251,1,8,2,180,0.8,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(0.8)-max(100000),SVC,0.7671602318850832,166653.64230105546,1,8,2,180,0.8,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(1)-max(20000),SVC,0.730131340541513,113679.44072000968,1,8,2,180,1.0,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(1)-max(30000),SVC,0.7416043963538722,120138.52893437314,1,8,2,180,1.0,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(1)-max(100000),SVC,0.7316362138135374,153931.6915129759,1,8,2,180,1.0,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(2)-max(20000),SVC,-0.05207219412668396,104831.85673628529,1,8,2,180,2.0,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(2)-max(30000),SVC,-0.06541411711205192,106570.00426717263,1,8,2,180,2.0,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(2)-max(100000),SVC,-0.04367941196260339,117423.28906722876,1,8,2,180,2.0,100000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(3)-max(20000),SVC,-0.6187457187426479,101439.68626910717,1,8,2,180,3.0,20000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(3)-max(30000),SVC,-0.6405803852514924,102152.13452158056,1,8,2,180,3.0,30000
SVC-p1-tr(8)-sw(2)-lw(180)-fa(3)-max(100000),SVC,-0.6579574523356575,106519.384774946,1,8,2,180,3.0,100000
