Time (UTC),open,high,low,close,volume
2021-11-26 04:00:00+00:00,57955.09,58043.35,57720.25,57836.4,67824670.27
2021-11-26 05:00:00+00:00,57836.4,57885.82,57519.36,57871.27,47598766.29
2021-11-26 06:00:00+00:00,57871.27,57951.96,57497.14,57617.41,63310806.23
2021-11-26 07:00:00+00:00,57617.41,57676.09,56678.32,56991.87,195454081.64
2021-11-26 08:00:00+00:00,56991.87,56996.12,54433.53,55224.96,589770685.49
2021-11-26 09:00:00+00:00,55224.96,55486.56,54663.0,54897.98,178118047.68
2021-11-26 10:00:00+00:00,54897.98,54917.87,54378.18,54426.85,169411929.16
2021-11-26 11:00:00+00:00,54426.85,54829.25,53746.79,53753.03,232200695.49
2021-11-26 12:00:00+00:00,53753.03,54387.38,53578.36,54312.61,201731796.82
2021-11-26 13:00:00+00:00,54312.61,54657.81,54014.81,54614.8,132240987.85
2021-11-26 14:00:00+00:00,54614.8,54898.82,54338.3,54705.08,161399383.71
2021-11-26 15:00:00+00:00,54705.08,54705.08,54276.68,54384.61,209068284.97
2021-11-26 16:00:00+00:00,54384.61,54588.0,54072.99,54327.44,175893117.98
2021-11-26 17:00:00+00:00,54327.44,54682.66,54214.73,54268.04,124338987.34
2021-11-26 18:00:00+00:00,54268.04,54375.55,53988.84,54113.71,129354354.03
2021-11-26 19:00:00+00:00,54113.71,54478.7,54027.64,54390.34,112401430.65
2021-11-26 20:00:00+00:00,54390.34,54609.35,54261.56,54557.18,70427808.37
2021-11-26 21:00:00+00:00,54557.18,54596.01,54025.38,54025.38,67677618.53
2021-11-26 22:00:00+00:00,54025.38,54393.74,53880.72,54097.88,65713521.45
2021-11-26 23:00:00+00:00,54097.88,54228.91,53575.54,53788.22,101328570.07
2021-11-27 00:00:00+00:00,53788.22,54659.14,53668.95,54131.74,97258069.22
2021-11-27 01:00:00+00:00,54131.74,54362.82,53958.33,54205.97,74378810.02
2021-11-27 02:00:00+00:00,54205.97,54558.44,54175.02,54436.38,59435471.66
2021-11-27 03:00:00+00:00,54436.38,54654.58,54328.04,54395.91,51203786.71
2021-11-27 04:00:00+00:00,54395.91,54634.94,54319.72,54528.92,42155807.56
2021-11-27 05:00:00+00:00,54528.92,54582.43,54307.63,54307.63,29524525.84
2021-11-27 06:00:00+00:00,54307.63,54515.64,54257.02,54281.3,29617766.02
2021-11-27 07:00:00+00:00,54281.3,54481.56,54272.1,54441.15,17767554.25
2021-11-27 08:00:00+00:00,54441.15,55316.65,54437.42,55106.41,73619313.31
2021-11-27 09:00:00+00:00,55106.41,55195.77,54630.51,54634.97,39892886.35
2021-11-27 10:00:00+00:00,54634.97,54929.63,54346.55,54772.51,37500144.57
2021-11-27 11:00:00+00:00,54772.51,54998.58,54577.71,54652.16,22735267.85
2021-11-27 12:00:00+00:00,54652.16,54861.37,54552.79,54761.97,22850552.08
2021-11-27 13:00:00+00:00,54761.97,55241.53,54707.54,55047.99,35949287.29
2021-11-27 14:00:00+00:00,55047.99,55260.71,54748.08,54763.97,40309785.55
2021-11-27 15:00:00+00:00,54763.97,55041.44,54661.05,54949.17,30911726.03
2021-11-27 16:00:00+00:00,54949.17,55251.05,54873.12,54959.38,35825730.04
2021-11-27 17:00:00+00:00,54959.38,55156.19,54886.93,54949.94,31472933.78
2021-11-27 18:00:00+00:00,54949.94,55084.73,54721.75,55023.28,30091079.9
2021-11-27 19:00:00+00:00,55023.28,55044.21,54896.76,54989.02,20637381.89
2021-11-27 20:00:00+00:00,54989.02,55101.59,54191.65,54316.98,63937056.11
2021-11-27 21:00:00+00:00,54316.98,54703.96,54062.42,54595.78,56066993.49
2021-11-27 22:00:00+00:00,54595.78,54993.38,54568.46,54887.06,29532300.5
2021-11-27 23:00:00+00:00,54887.06,54929.71,54411.39,54805.03,37911312.45
2021-11-28 00:00:00+00:00,54805.03,54852.86,54319.54,54738.16,44885114.49
2021-11-28 01:00:00+00:00,54738.16,54772.53,54174.83,54270.59,33269199.11
2021-11-28 02:00:00+00:00,54270.59,54407.09,53767.95,54391.21,80602834.6
2021-11-28 03:00:00+00:00,54391.21,54473.78,54085.42,54165.31,31109390.96
2021-11-28 04:00:00+00:00,54165.31,54241.73,53993.72,54084.16,25814803.44
2021-11-28 05:00:00+00:00,54084.16,54423.8,54033.73,54418.05,27047817.03
2021-11-28 06:00:00+00:00,54418.05,54627.29,54239.72,54540.99,20817860.57
2021-11-28 07:00:00+00:00,54540.99,54662.79,54450.24,54571.47,15969069.55
2021-11-28 08:00:00+00:00,54571.47,54717.23,54287.41,54437.77,18716965.12
2021-11-28 09:00:00+00:00,54437.77,54501.32,54186.83,54375.94,17813105.41
2021-11-28 10:00:00+00:00,54375.94,54960.79,54235.39,54771.33,32828805.89
2021-11-28 11:00:00+00:00,54771.33,54907.9,54492.59,54541.27,24866621.54
2021-11-28 12:00:00+00:00,54541.27,54661.88,54330.01,54398.85,19330557.15
2021-11-28 13:00:00+00:00,54398.85,54433.16,54256.16,54321.39,18439286.42
2021-11-28 14:00:00+00:00,54321.39,54571.58,54093.99,54404.54,27440690.97
2021-11-28 15:00:00+00:00,54404.54,54468.71,54222.74,54344.99,19989357.59
2021-11-28 16:00:00+00:00,54344.99,54398.41,54008.58,54225.2,41435687.03
2021-11-28 17:00:00+00:00,54225.2,54318.76,53842.15,53933.05,37701789.79
2021-11-28 18:00:00+00:00,53933.05,54202.61,53436.05,54154.33,112380096.76
2021-11-28 19:00:00+00:00,54154.33,54940.39,54107.32,54664.21,74690858.51
2021-11-28 20:00:00+00:00,54664.21,55190.39,54663.58,54975.21,53776956.5
2021-11-28 21:00:00+00:00,54975.21,56427.46,54929.91,56348.27,127039600.94
2021-11-28 22:00:00+00:00,56348.27,56759.75,56087.02,56096.08,113441186.54
2021-11-28 23:00:00+00:00,56096.08,57475.26,56094.2,57331.41,167586990.65
2021-11-29 00:00:00+00:00,57331.41,57978.62,57198.89,57826.03,171857681.47
2021-11-29 01:00:00+00:00,57826.03,58267.05,57577.13,57701.26,102751959.15
2021-11-29 02:00:00+00:00,57701.26,57754.91,57342.0,57356.62,54154748.8
2021-11-29 03:00:00+00:00,57356.62,57466.17,57248.78,57402.42,40324529.97
2021-11-29 04:00:00+00:00,57402.42,57691.44,57307.4,57313.41,52742532.62
2021-11-29 05:00:00+00:00,57313.41,57447.86,57281.92,57397.75,44505912.98
2021-11-29 06:00:00+00:00,57397.75,57568.0,57396.88,57487.4,40914262.01
2021-11-29 07:00:00+00:00,57487.4,57734.84,57459.5,57572.02,38737161.8
2021-11-29 08:00:00+00:00,57572.02,57684.16,57278.11,57314.09,31834409.13
2021-11-29 09:00:00+00:00,57314.09,57453.66,56752.37,56928.56,69362768.13
2021-11-29 10:00:00+00:00,56928.56,57432.32,56875.92,57228.67,95619004.24
2021-11-29 11:00:00+00:00,57228.67,57337.7,56945.01,56949.72,31807006.26
2021-11-29 12:00:00+00:00,56949.72,57150.7,56905.16,56956.9,58844478.05
2021-11-29 13:00:00+00:00,56956.9,57545.45,56924.73,57350.97,72464563.29
2021-11-29 14:00:00+00:00,57350.97,57449.34,57003.24,57085.56,52619719.72
2021-11-29 15:00:00+00:00,57085.56,57173.27,56898.73,57170.39,66470685.22
2021-11-29 16:00:00+00:00,57170.39,57527.75,57067.27,57495.53,64779515.43
2021-11-29 17:00:00+00:00,57495.53,58808.35,57479.07,58674.23,176367272.62
2021-11-29 18:00:00+00:00,58674.23,58898.57,58562.76,58700.53,83956032.16
2021-11-29 19:00:00+00:00,58700.53,58716.88,57848.96,57906.95,108817486.61
2021-11-29 20:00:00+00:00,57906.95,58298.11,57773.54,58096.19,85023658.54
2021-11-29 21:00:00+00:00,58096.19,58456.9,58060.83,58317.36,56890197.91
2021-11-29 22:00:00+00:00,58317.36,58422.41,58097.85,58120.9,37199221.42
2021-11-29 23:00:00+00:00,58120.9,58147.4,57752.17,57839.55,51960908.32
2021-11-30 00:00:00+00:00,57839.55,58007.29,57600.86,57754.72,56445589.54
2021-11-30 01:00:00+00:00,57754.72,57832.78,57126.9,57357.99,111722604.43
2021-11-30 02:00:00+00:00,57357.99,57580.43,57319.02,57413.83,52207390.04
2021-11-30 03:00:00+00:00,57413.83,57464.05,56842.52,57150.63,67911134.98
2021-11-30 04:00:00+00:00,57150.63,57326.44,57053.64,57246.09,43805762.61
2021-11-30 05:00:00+00:00,57246.09,57331.18,56317.34,56352.01,108732562.69
2021-11-30 06:00:00+00:00,56352.01,56617.65,55931.33,56598.74,104534377.4
2021-11-30 07:00:00+00:00,56598.74,56814.98,56280.01,56549.97,54022535.02
2021-11-30 08:00:00+00:00,56549.97,57401.48,56306.77,56847.66,93227790.66
2021-11-30 09:00:00+00:00,56847.66,56977.73,56391.09,56784.82,66963557.7
2021-11-30 10:00:00+00:00,56784.82,57270.91,56638.16,57198.35,60865613.53
2021-11-30 11:00:00+00:00,57198.35,57756.91,56988.74,57672.59,91069114.76
2021-11-30 12:00:00+00:00,57672.59,58329.58,57668.43,57883.37,93280188.67
2021-11-30 13:00:00+00:00,57883.37,58383.37,57703.29,58367.9,133104785.16
2021-11-30 14:00:00+00:00,58367.9,58588.43,58112.77,58434.97,140962207.42
2021-11-30 15:00:00+00:00,58434.97,59226.33,57423.82,57426.43,301009619.37
2021-11-30 16:00:00+00:00,57426.43,57767.86,56596.44,56787.45,265598820.58
2021-11-30 17:00:00+00:00,56787.45,57635.56,56549.42,57431.13,144926249.8
2021-11-30 18:00:00+00:00,57431.13,58399.9,57278.8,58368.74,104435617.68
2021-11-30 19:00:00+00:00,58368.74,58385.04,57474.15,57685.31,88660970.83
2021-11-30 20:00:00+00:00,57685.31,57802.51,57281.49,57490.54,60232533.15
2021-11-30 21:00:00+00:00,57490.54,57799.37,56899.39,57135.14,60626810.98
2021-11-30 22:00:00+00:00,57135.14,57551.12,57065.92,57333.82,31494133.7
2021-11-30 23:00:00+00:00,57333.82,57439.18,56835.21,56975.35,47904502.62
2021-12-01 00:00:00+00:00,56975.35,57712.01,56709.23,57621.66,72382389.65
2021-12-01 01:00:00+00:00,57621.66,57621.89,56988.69,57049.09,67677908.98
