Time (UTC),open,high,low,close,volume_from,volume_to
2021-08-27 13:00:00+00:00,3157.88,3172.37,3135.45,3167.67,20100.76,63419313.61
2021-08-27 14:00:00+00:00,3167.67,3246.22,3163.27,3229.63,59614.44,191673033.46
2021-08-27 15:00:00+00:00,3229.63,3248.96,3225.34,3240.66,28218.81,91412533.71
2021-08-27 16:00:00+00:00,3240.66,3250.15,3222.06,3234.39,17268.81,55867836.61
2021-08-27 17:00:00+00:00,3234.39,3245.64,3232.21,3234.05,13241.62,42888893.5
2021-08-27 18:00:00+00:00,3234.05,3241.3,3230.02,3232.14,8780.86,28428047.59
2021-08-27 19:00:00+00:00,3232.14,3244.41,3227.25,3235.01,11732.02,37960743.38
2021-08-27 20:00:00+00:00,3235.01,3276.24,3225.79,3264.39,27332.71,89091599.33
2021-08-27 21:00:00+00:00,3264.39,3279.28,3261.41,3276.56,10557.12,34544783.37
2021-08-27 22:00:00+00:00,3276.56,3277.33,3257.47,3275.0,8322.65,27187182.81
2021-08-27 23:00:00+00:00,3275.0,3282.69,3263.42,3275.87,10184.51,33337608.89
2021-08-28 00:00:00+00:00,3275.87,3287.97,3261.01,3270.57,11377.01,37269666.27
2021-08-28 01:00:00+00:00,3270.57,3272.39,3252.39,3261.43,9221.24,30053613.93
2021-08-28 02:00:00+00:00,3261.43,3261.64,3243.37,3247.41,6612.53,21507760.99
2021-08-28 03:00:00+00:00,3247.41,3257.49,3242.65,3246.13,4630.53,15045375.9
2021-08-28 04:00:00+00:00,3246.13,3258.21,3245.22,3250.13,4129.84,13429696.7
2021-08-28 05:00:00+00:00,3250.13,3252.49,3237.02,3243.95,5474.69,17768623.01
2021-08-28 06:00:00+00:00,3243.95,3254.86,3228.5,3246.55,4559.8,14778336.38
2021-08-28 07:00:00+00:00,3247.24,3245.85,3231.65,3232.14,8780.1,28378478.7
2021-08-28 08:00:00+00:00,3232.14,3241.8,3230.06,3240.34,7211.33,23367130.43
2021-08-28 09:00:00+00:00,3240.5,3258.86,3239.35,3249.35,3830.65,12443645.7
2021-08-28 10:00:00+00:00,3249.35,3250.36,3239.85,3241.78,3244.92,10531481.16
2021-08-28 11:00:00+00:00,3241.78,3243.34,3212.9,3224.36,6966.22,22473474.0
2021-08-28 12:00:00+00:00,3224.26,3244.31,3236.48,3242.84,15444.1,50082768.11
2021-08-28 13:00:00+00:00,3242.84,3233.92,3227.09,3231.48,12874.86,41604830.5
2021-08-28 14:00:00+00:00,3231.09,3235.69,3213.54,3229.32,6388.42,20596108.82
2021-08-28 15:00:00+00:00,3228.59,3250.95,3239.71,3248.02,13290.9,43169045.02
2021-08-28 16:00:00+00:00,3248.38,3266.64,3237.44,3249.28,8993.06,29261894.03
2021-08-28 17:00:00+00:00,3249.28,3253.75,3242.09,3247.04,4924.99,15997209.7
2021-08-28 18:00:00+00:00,3247.04,3252.04,3241.33,3242.28,4267.83,13860385.47
2021-08-28 19:00:00+00:00,3242.28,3242.28,3222.31,3232.18,5945.46,19199774.46
2021-08-28 20:00:00+00:00,3232.18,3240.82,3229.32,3239.37,3865.74,12507456.77
2021-08-28 21:00:00+00:00,3239.37,3251.49,3237.32,3249.61,3939.72,12788392.75
2021-08-28 22:00:00+00:00,3249.61,3255.91,3232.23,3235.85,10682.71,34717118.53
2021-08-28 23:00:00+00:00,3235.85,3247.37,3235.85,3246.78,4891.23,15858661.79
2021-08-29 00:00:00+00:00,3246.78,3283.18,3236.1,3283.01,14840.18,48447725.2
